"","t","i","a","s","open","completed","carried"
"443",10,12,0.919902811812103,"C_999",88594,14157,96308
"444",11,12,0.952228874313606,"C_999",99885,15840,104896
"445",12,12,0.934360049131185,"C_999",108781,14843,116423
"446",13,12,0.947506731461192,"C_999",117181,18759,123673
"447",14,12,0.971975981802368,"C_999",116225,18717,119576
"448",15,12,0.957827875712486,"C_999",108724,16761,113511
"449",16,12,0.969652452932308,"C_999",125410,17768,129335
"450",17,12,0.971976015710755,"C_999",130168,20570,133921
"451",18,12,0.896055042699582,"C_999",129583,20806,144615
"452",19,12,0.933873763638218,"C_999",91585,22510,98070
"453",20,12,0.972243781646154,"C_999",131530,13897,135285
"454",21,12,0.991054252929228,"C_999",147344,24335,148674
"455",22,12,0.92495939089478,"C_999",147482,24527,159447
"456",23,12,0.972798076260348,"C_999",127027,24340,130579
"457",24,12,0.908603930301845,"C_999",150960,20461,166145
"458",25,12,0.946222975935027,"C_999",164041,25429,173364
"459",26,12,0.947505570911925,"C_999",155624,27964,164246
"460",27,12,0.95403853549217,"C_999",143890,24721,150822
"461",28,12,0.960893170092038,"C_999",156812,23448,163194
"462",29,12,0.94068596243918,"C_999",165493,29516,175928
"463",30,12,0.928182265513378,"C_999",156563,36993,168677
"464",31,12,0.978734094049218,"C_999",101298,31495,103499
"465",32,12,0.95223269348214,"C_999",159040,20934,167018
"466",33,12,0.954878140362431,"C_999",165298,35367,173109
"467",34,12,0.923516813617779,"C_999",166016,33654,179765
"468",35,12,1,"C_999",151738,28577,151293
"469",0,13,NA,"C_999",26351,6438,NA
"470",1,13,0.992695170503722,"C_999",28674,5576,28885
"471",2,13,0.956947488802058,"C_999",40165,7572,41972
"472",3,13,0.925116418807271,"C_999",49268,8672,53256
"473",4,13,0.92805173807599,"C_999",53956,8409,58139
"474",5,13,0.921576096157102,"C_999",65325,10830,70884
"475",6,13,0.920743421968537,"C_999",66137,12296,71830
"476",7,13,0.895164441330621,"C_999",66440,12681,74221
"477",8,13,0.936470330952034,"C_999",51386,9181,54872
"478",9,13,0.945753174663524,"C_999",62188,8858,65755
"479",10,13,0.888622945588001,"C_999",66828,10305,75204
"480",11,13,0.894657577679138,"C_999",67722,12898,75696
"481",12,13,0.924005649970853,"C_999",82425,10681,89204
"482",13,13,0.922314805946642,"C_999",86669,14812,93969
"483",14,13,0.922316507742105,"C_999",94887,14302,102879
"484",15,13,0.915254901960784,"C_999",93356,14225,102000
"485",16,13,0.931318098952813,"C_999",87868,14376,94348
"486",17,13,0.928336064081558,"C_999",101987,15550,109860
"487",18,13,0.863374332545228,"C_999",97500,17239,112929
"488",19,13,0.898502133983345,"C_999",99156,19226,110357
"489",20,13,0.952173688425077,"C_999",73723,14159,77426
"490",21,13,0.954903012032309,"C_999",108646,17753,113777
"491",22,13,0.901228632899621,"C_999",114356,20455,126889
"492",23,13,0.939389579036565,"C_999",117512,22388,125094
"493",24,13,0.945419068095178,"C_999",104656,16329,110698
"494",25,13,0.930564553266885,"C_999",119223,22841,128119
"495",26,13,0.921409542262049,"C_999",129353,23655,140386
